pl_name,hostname,discoverymethod,disc_year,sy_snum,sy_pnum,sy_dist,ra,dec,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass
"47 UMa d","47 UMa","Radial Velocity",2009,1,3,13.79670000,164.8647611,40.4304931,14002.00000000000,13.50000000,521.22000000,,5872.00,1.213340,1.060000
"MOA-2008-BLG-310L b","MOA-2008-BLG-310L","Microlensing",2009,1,1,7700.00000000,268.5605420,-34.7780528,,5.18000000,23.40000000,,,,0.210000
"Kepler-419 b","Kepler-419","Transit",2014,1,2,1011.36000000,295.4179125,51.1847629,69.75460000000,10.80000000,794.50000000,613.00,6430.00,1.740000,1.390000
"HD 24040 b","HD 24040","Radial Velocity",2006,1,2,46.62240000,57.5962104,17.4752873,3668.00000000000,12.90000000,1589.14203500,,5802.00,1.300000,1.110000
"HD 11964 c","HD 11964","Radial Velocity",2008,2,2,33.53690000,29.2884252,-10.2434693,37.91000000000,5.38000000,25.00000000,,5303.00,2.009710,0.910000
"CoRoT-6 b","CoRoT-6","Transit",2009,1,1,645.29400000,281.0725563,6.6632062,8.88659300000,13.06800000,940.74000000,1017.00,6090.00,1.025000,1.050000
"WASP-31 b","WASP-31","Transit",2010,1,1,383.82900000,169.4388603,-19.0547781,3.40590960000,17.36300000,151.91600000,1423.70,6302.00,1.252000,1.163000
"Kepler-59 c","Kepler-59","Transit",2012,1,2,1163.22000000,287.0394932,46.6401677,17.98012350000,1.98000000,3.81000000,752.00,6074.00,0.940000,1.040000
"Kepler-58 c","Kepler-58","Transit",2012,1,4,969.25200000,296.3586251,39.1152033,15.57415680000,2.86000000,53.00000000,799.00,5843.00,1.030000,0.950000
"HD 154857 c","HD 154857","Radial Velocity",2014,1,2,63.44820000,257.8161940,-56.6810380,3452.00000000000,13.20000000,819.97000000,,5605.00,1.760000,1.718000
"KOI-217 b","KOI-217","Transit",2010,1,1,914.69900000,294.8654667,46.2858128,3.90512000000,12.44200000,,1046.00,5545.00,0.860000,0.950000
"Kepler-51 c","Kepler-51","Transit",2012,1,4,783.83100000,296.4797624,49.9376486,85.31200000000,9.00000000,4.00000000,439.00,6018.00,0.940000,1.040000
"BD-210397 c","BD-210397","Radial Velocity",2023,1,2,23.73240000,33.3024198,-21.1962147,6240.00000000000,12.90000000,1525.57635360,,4051.00,0.747000,0.690000
"Kepler-62 c","Kepler-62","Transit",2013,1,5,300.87400000,283.2125621,45.3496992,12.44170000000,0.54000000,4.00000000,578.00,4925.00,0.640000,0.690000
"Kepler-62 b","Kepler-62","Transit",2013,1,5,300.87400000,283.2125621,45.3496992,5.71493200000,1.31000000,9.00000000,750.00,4925.00,0.640000,0.690000
"CHXR 73 b","CHXR 73","Imaging",2006,1,1,190.37400000,166.6193985,-77.6258725,,12.30000000,3994.48600000,,3099.00,,0.350000
"FU Tau b","FU Tau","Imaging",2008,1,1,133.49504660,65.8974962,25.0506711,,12.20000000,5085.28000000,2375.00,2838.00,,0.050000
"GJ 667 C b","GJ 667 C","Radial Velocity",2012,3,5,7.24396000,259.7510609,-34.9977651,7.20300000000,2.25000000,5.68000000,,3350.00,,0.330000
"HD 168443 c","HD 168443","Radial Velocity",2000,1,2,39.62450000,275.0159879,-9.5966905,1753.10960000000,12.20000000,5500.33841154,,5491.00,1.711479,0.980000
"Kepler-59 b","Kepler-59","Transit",2012,1,2,1163.22000000,287.0394932,46.6401677,11.86817070000,1.10000000,4.10000000,864.00,6074.00,0.940000,1.040000
"Kepler-53 b","Kepler-53","Transit",2012,1,3,1366.07000000,290.4617926,40.5624966,18.64895250000,2.89000000,111.00000000,701.00,5858.00,0.890000,0.980000
"HD 82943 c","HD 82943","Radial Velocity",2003,1,2,27.59020000,143.7114034,-12.1302976,220.07800000000,13.40000000,622.60300000,,5935.00,1.182600,1.080000
"HD 82943 b","HD 82943","Radial Velocity",2003,1,2,27.59020000,143.7114034,-12.1302976,441.47000000000,13.50000000,534.25000000,,5935.00,1.182600,1.080000
"UZ For b","UZ For","Eclipse Timing Variations",2011,2,2,239.60387482,53.8694682,-25.7393857,5840.00000000000,,2002.20000000,,5286.90,,0.700000
"Kepler-69 b","Kepler-69","Transit",2013,1,2,730.62500000,293.2609013,44.8688656,13.72234100000,2.24000000,5.65000000,779.00,5638.00,0.930000,0.810000
"HIP 5158 c","HIP 5158","Radial Velocity",2011,1,2,51.60260000,16.5094891,-22.4536134,9017.76000000000,12.20000000,4780.16320000,,4813.00,0.754089,0.780000
"HU Aqr AB b","HU Aqr","Eclipse Timing Variations",2011,2,2,192.19807871,316.9921976,-5.2948694,2390.00000000000,12.80000000,1875.19700000,,5952.00,,0.880000
"Kepler-37 e","Kepler-37","Transit Timing Variations",2014,1,4,63.92070000,284.0592503,44.5183733,51.19600000000,0.37000000,8.10000000,401.00,5288.00,0.772000,0.800000
"Kepler-65 d","Kepler-65","Transit",2012,1,4,303.72800000,288.6887221,41.1511076,8.13123000000,1.52000000,4.14000000,1117.00,6211.00,1.410000,1.250000
"Kepler-52 c","Kepler-52","Transit",2012,1,3,321.54200000,286.7380152,49.9757383,16.38500210000,1.84000000,45.40000000,433.00,4075.00,0.520000,0.540000
"Kepler-55 b","Kepler-55","Transit",2012,1,5,578.79600000,285.1683291,44.0264898,27.94814490000,2.43000000,43.00000000,400.00,4362.00,0.580000,0.620000
"UZ For c","UZ For","Eclipse Timing Variations",2011,2,2,239.60387482,53.8694682,-25.7393857,1916.25000000000,,2447.20000000,,5286.90,,0.700000
"Kepler-413 b","Kepler-413","Transit",2014,2,1,847.53600000,288.5106679,51.1624235,66.26200000000,4.34700000,67.00000000,,4700.00,0.776100,0.820000
"HAT-P-42 b","HAT-P-42","Transit",2012,1,1,405.23800000,135.3443583,6.0970828,4.64187800000,14.34800000,331.80100000,1428.00,5743.00,1.530000,1.178000
"WASP-59 b","WASP-59","Transit",2012,1,1,115.93600000,349.6229547,24.8892770,7.91958500000,8.68700000,274.27600000,670.00,4650.00,0.613000,0.719000
"HAT-P-39 b","HAT-P-39","Transit",2012,2,1,697.00400000,113.7582526,17.8300283,3.54387000000,17.60900000,190.37200000,1752.00,6430.00,1.625000,1.404000
"alf Ari b","alf Ari","Radial Velocity",2010,1,1,20.21019000,31.7932860,23.4624210,380.80000000000,13.40000000,572.07000000,,4553.00,13.900000,1.500000
"KOI-55 b","KOI-55","Orbital Brightness Modulation",2011,1,2,1231.02000000,296.3561853,41.0927315,0.24010400000,0.75900000,0.44000000,,27730.00,0.203000,0.496000
"WTS-2 b","WTS-2","Transit",2014,1,1,1030.76834437,293.7327826,36.8154936,1.01870680000,15.27786700,355.96960000,2000.00,5000.00,0.752000,0.820000
"KOI-55 c","KOI-55","Orbital Brightness Modulation",2011,1,2,1231.02000000,296.3561853,41.0927315,0.34288700000,0.86700000,0.65500000,,27730.00,0.203000,0.496000
"Ross 458 c","Ross 458","Imaging",2010,2,1,11.50940000,195.1912147,12.3755996,,14.01125000,1906.98000000,,3965.42,0.562566,0.556419
"Kepler-38 b","Kepler-38","Transit",2012,2,1,1174.59000000,286.8303120,42.2791434,105.59900000000,4.30000000,122.00000000,475.00,5623.00,1.752000,0.941000
